carnet,nombre,carrera,trimestre,anio,codasig,nomasig,nota,creditos
1355555,Juan Nieves,800,1,2013,AB1230,Materia 1,3,15
1355555,Juan Nieves,800,2,2013,AB1231,Materia 2,3,15
1355555,Juan Nieves,800,3,2013,AB1232,Materia 3,3,15
1355555,Juan Nieves,800,4,2013,AB1233,Materia 4,3,15
1355555,Juan Nieves,800,5,2014,AB1234,Materia 5,3,15
1355555,Juan Nieves,800,6,2014,AB1235,Materia 6,3,15
1355555,Juan Nieves,800,7,2014,AB1236,Materia 7,3,15
1355555,Juan Nieves,800,8,2015,AB1238,Materia 8,3,15
1355555,Juan Nieves,800,9,2015,AB1239,Materia 9,3,15
1355555,Juan Nieves,800,10,2015,AB1241,Materia 10,3,15
1355555,Juan Nieves,800,11,2015,AB1242,Materia 11,3,15
1355555,Juan Nieves,800,12,2016,AB1243,Materia 12,3,15
1355555,Juan Nieves,800,13,2016,AB1244,Materia 13,3,15
1355555,Juan Nieves,800,14,2016,AB1245,Materia 14,3,15
1355555,Juan Nieves,800,15,2016,AB1246,Materia 15,3,15
1322365,Valeria Perez,800,1,2014,AB1230,Materia 1,3,15
1322365,Valeria Perez,800,2,2014,AB1231,Materia 2,3,15
1322365,Valeria Perez,800,3,2014,AB1232,Materia 3,3,15
1322365,Valeria Perez,800,4,2014,AB1233,Materia 4,3,15
1322365,Valeria Perez,800,5,2014,AB1234,Materia 5,3,15
1322365,Valeria Perez,800,6,2014,AB1235,Materia 6,3,15
1322365,Valeria Perez,800,7,2014,AB1236,Materia 7,3,15
1322365,Valeria Perez,800,8,2014,AB1238,Materia 8,3,15
1322365,Valeria Perez,800,9,2014,AB1239,Materia 9,3,15
1322365,Valeria Perez,800,10,2014,AB1241,Materia 10,3,15
1322365,Valeria Perez,800,11,2014,AB1242,Materia 11,3,15
1322365,Valeria Perez,800,12,2014,AB1243,Materia 12,3,15
1322365,Valeria Perez,800,13,2014,AB1244,Materia 13,3,15
1322365,Valeria Perez,800,14,2014,AB1245,Materia 14,3,15
1322365,Valeria Perez,800,15,2014,AB1246,Materia 15,3,15
1455555,Jose Lopez,800,1,2016,AB1230,Materia 1,3,15
1455555,Jose Lopez,800,2,2016,AB1231,Materia 2,3,15
1455555,Jose Lopez,800,3,2016,AB1232,Materia 3,3,15
1455555,Jose Lopez,800,4,2016,AB1233,Materia 4,3,15
1455555,Jose Lopez,800,5,2016,AB1234,Materia 5,3,15
1455555,Jose Lopez,800,6,2016,AB1235,Materia 6,3,15
1555555,Veronica Garcia,800,7,2016,AB1230,Materia 1,3,15
1555555,Veronica Garcia,800,8,2016,AB1231,Materia 2,3,15
1555555,Veronica Garcia,800,9,2016,AB1232,Materia 3,3,15
1555555,Veronica Garcia,800,10,2016,AB1233,Materia 4,3,15
1555555,Veronica Garcia,800,11,2016,AB1234,Materia 5,3,15
1555555,Veronica Garcia,800,12,2016,AB1235,Materia 6,3,15
1555555,Veronica Garcia,800,13,2016,AB1236,Materia 7,3,15
1555555,Veronica Garcia,800,14,2016,AB1238,Materia 8,3,15
1555555,Veronica Garcia,800,15,2016,AB1239,Materia 9,3,15
1555555,Veronica Garcia,800,1,2017,AB1241,Materia 10,3,15
1555555,Veronica Garcia,800,2,2017,AB1242,Materia 11,3,15
1555555,Veronica Garcia,800,3,2017,AB1243,Materia 12,3,15
1555555,Veronica Garcia,800,4,2017,AB1244,Materia 13,3,15
1555555,Veronica Garcia,800,5,2017,AB1245,Materia 14,3,15
1555555,Veronica Garcia,800,6,2017,AB1246,Materia 15,3,15
1655555,Maria Nieves,800,10,2017,AB1230,Materia 1,3,15
1655555,Maria Nieves,800,11,2017,AB1231,Materia 2,3,15
1655555,Maria Nieves,800,12,2017,AB1232,Materia 3,3,15
1655555,Maria Nieves,800,13,2017,AB1233,Materia 4,3,15
1655555,Maria Nieves,800,14,2017,AB1234,Materia 5,3,15
1655555,Maria Nieves,800,15,2017,AB1235,Materia 6,3,15
1655555,Maria Nieves,800,1,2015,AB1236,Materia 7,3,15
1655555,Maria Nieves,800,2,2015,AB1238,Materia 8,3,15
1655555,Maria Nieves,800,3,2015,AB1239,Materia 9,3,15
1655555,Maria Nieves,800,4,2015,AB1241,Materia 10,3,15
1655555,Maria Nieves,800,5,2015,AB1242,Materia 11,3,15
1655555,Maria Nieves,800,6,2015,AB1243,Materia 12,3,15
1655555,Maria Nieves,800,7,2015,AB1244,Materia 13,3,15
1655555,Maria Nieves,800,8,2015,AB1245,Materia 14,3,15
1655555,Maria Nieves,800,9,2015,AB1246,Materia 15,3,15
1755555,Ellen Lovera,800,13,2015,AB1244,Materia 13,3,15
1755555,Ellen Lovera,800,14,2015,AB1245,Materia 14,3,15
1755555,Ellen Lovera,800,15,2015,AB1246,Materia 15,3,15
