carnet,nombre,carrera,trimestre,anio,codasig,nomasig,nota,creditos,Cohorte 13
1355555,Oliver Atom,733,0,2013,MC2546,Mecanica,3,150,
1355555,Oliver Atom,733,1,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,2,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,3,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,4,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,5,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,6,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,7,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,8,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,9,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,10,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,11,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,10,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,11,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,12,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,13,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,14,2013,MC2546,Mecanica,3,0,
1355555,Oliver Atom,733,15,2013,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,0,2014,MC2546,Mecanica,3,0,Cohorte 14
1455555,Oliver Atom,733,1,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,2,2014,MC2546,Mecanica,3,150,
1455555,Oliver Atom,733,3,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,4,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,5,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,6,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,7,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,8,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,9,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,10,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,11,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,10,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,11,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,12,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,13,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,14,2014,MC2546,Mecanica,3,0,
1455555,Oliver Atom,733,15,2014,MC2546,Mecanica,3,0,
1555555,Oliver Atom,733,0,2015,MC2546,Mecanica,3,0,Cohorte 15
1555555,Oliver Atom,733,1,2015,MC2546,Mecanica,3,0,
1555555,Oliver Atom,733,2,2015,MC2546,Mecanica,3,0,
1555555,Oliver Atom,733,3,2015,MC2546,Mecanica,3,0,
1555555,Oliver Atom,733,4,2015,MC2546,Mecanica,3,0,
1555555,Oliver Atom,733,5,2015,MC2546,Mecanica,3,0,
1555555,Oliver Atom,733,6,2015,MC2546,Mecanica,3,0,
1555555,Oliver Atom,733,7,2015,MC2546,Mecanica,3,0,
1555555,Oliver Atom,733,8,2015,MC2546,Mecanica,3,0,
1555555,Oliver Atom,733,9,2015,MC2546,Mecanica,3,150,
1555555,Oliver Atom,733,10,2015,MC2546,Mecanica,3,0,
1555555,Oliver Atom,733,11,2015,MC2546,Mecanica,3,0,
1555555,Oliver Atom,733,10,2015,MC2546,Mecanica,3,0,
1555555,Oliver Atom,733,11,2015,MC2546,Mecanica,3,0,
1555555,Oliver Atom,733,12,2015,MC2546,Mecanica,3,0,
