<<<<<<< HEAD
carnet,nombre,carrera,trimestre,anio,codasig,nomasig,nota,creditos
1210428,Jose Ramirez,800,0,2013,FD3232,Politica,3,200
1210428,Jose Ramirez,800,2,2013,AS3949,Sociologia,3,50
1210428,Jose Ramirez,800,3,2013,SD5645,Computacion,3,60
1210429,Pedro Gonzalez,800,4,2012,MA1001,Mate I,3,60
1210429,Pedro Gonzalez,800,5,2012,CI4930,Sociales,3,6
1210430,Jose Herrera,800,6,2013,FS2929,Fisica,3,30
1210430,Jose Herrera,800,7,2013,CE3939,Comunicacion,3,20
1210430,Jose Herrera,800,8,2013,AS3233,Psicologia,3,20
1210430,Jose Herrera,800,9,2013,FD3233,Politica,R,50
1210430,Jose Herrera,800,10,2013,AS3945,Sociologia,3,20
1210430,Jose Herrera,800,11,2013,SD5644,Computacion,3,60
=======
carnet,nombre,carrera,trimestre,anio,codasig,nomasig,nota,creditos
1210428,Jose Ramirez,800,0,2013,FD3232,Politica,3,200
1210428,Jose Ramirez,800,2,2013,AS3949,Sociologia,3,50
1210428,Jose Ramirez,800,3,2013,SD5645,Computacion,3,60
1210429,Pedro Gonzalez,800,4,2012,MA1001,Mate I,3,60
1210429,Pedro Gonzalez,800,5,2012,CI4930,Sociales,3,6
1210430,Jose Herrera,800,6,2013,FS2929,Fisica,3,30
1210430,Jose Herrera,800,7,2013,CE3939,Comunicacion,3,20
1210430,Jose Herrera,800,8,2013,AS3233,Psicologia,3,20
1210430,Jose Herrera,800,9,2013,FD3233,Politica,R,50
1210430,Jose Herrera,800,10,2013,AS3945,Sociologia,3,20
1210430,Jose Herrera,800,11,2013,SD5644,Computacion,3,60
>>>>>>> e41ec0392b580ab1e5b7d9afff17a0d34c04bb23
