carnet,nombre,carrera,trimestre,anio,codasig,nomasig,nota,creditos
1355555,Juan Nieves,800,1,2013,AB1230,Materia 1,3,150
1355555,Juan Nieves,800,2,2013,AB1231,Materia 2,3,0
1355555,Juan Nieves,800,3,2013,AB1232,Materia 3,3,0
1355555,Juan Nieves,800,4,2013,AB1233,Materia 4,3,0
1355555,Juan Nieves,800,5,2013,AB1234,Materia 5,3,0
1355555,Juan Nieves,800,6,2014,AB1235,Materia 15,3,0
1355555,Juan Nieves,800,7,2014,AB1236,Materia 6,3,0
1355555,Juan Nieves,800,8,2014,AB1238,Materia 7,3,0
1355555,Juan Nieves,800,9,2014,AB1239,Materia 8,3,0
1355555,Juan Nieves,800,10,2015,AB1241,Materia 9,3,0
1355555,Juan Nieves,800,11,2015,AB1242,Materia 10,3,0
1355555,Juan Nieves,800,12,2015,AB1243,Materia 11,3,0
1355555,Juan Nieves,800,13,2015,AB1244,Materia 12,3,0
1355555,Juan Nieves,800,14,2016,AB1245,Materia 13,3,0
1355555,Juan Nieves,800,15,2016,AB1246,Materia 14,3,0
1211566,Francisco Garcia,800,1,2012,AB1230,Materia 1,3,150
1211566,Francisco Garcia,800,2,2012,AB1231,Materia 2,3,0
1211566,Francisco Garcia,800,3,2012,AB1232,Materia 3,3,0
1211566,Francisco Garcia,800,4,2012,AB1233,Materia 4,3,0
1211566,Francisco Garcia,800,5,2013,AB1234,Materia 5,3,0
1211566,Francisco Garcia,800,6,2013,AB1235,Materia 15,3,0
1211566,Francisco Garcia,800,7,2013,AB1236,Materia 6,3,0
1211566,Francisco Garcia,800,8,2013,AB1238,Materia 7,3,0
1211566,Francisco Garcia,800,9,2014,AB1239,Materia 8,3,0
1211566,Francisco Garcia,800,10,2014,AB1241,Materia 9,3,0
1211566,Francisco Garcia,800,11,2014,AB1242,Materia 10,3,0
1211566,Francisco Garcia,800,12,2014,AB1243,Materia 11,3,0
1211566,Francisco Garcia,800,13,2015,AB1244,Materia 12,3,0
1211566,Francisco Garcia,800,14,2015,AB1245,Materia 13,3,0
1211566,Francisco Garcia,800,15,2015,AB1246,Materia 14,3,0
