carnet,nombre,carrera,trimestre,anio,codasig,nomasig,nota,creditos
1210427,Lautaro Villalon,800,1,2012,MA1001,Mate I,4,4
1210427,Lautaro Villalon,800,2,2012,CI4930,Sociales,4,3
1210427,Lautaro Villalon,800,3,2012,CO9483,Proba,3,3
1210427,Lautaro Villalon,800,4,2012,MA1002,Mate 2,2,4
1210427,Lautaro Villalon,800,1,2013,CA9393,Lenguaje,4,3
1210427,Lautaro Villalon,800,2,2013,FS2929,Fisica,5,4
1210427,Lautaro Villalon,800,3,2013,CE3939,Comunicacion,2,3
1210427,Lautaro Villalon,800,4,2013,AS3233,Psicologia,3,5
1210427,Lautaro Villalon,800,4,2013,FD3232,Politica,5,3
1210427,Lautaro Villalon,800,4,2013,AS3949,Sociologia,4,4
1210427,Lautaro Villalon,800,15,2013,AS1111,Sociologia,4,235
1210428,Jose Ramirez,800,1,2012,MA1001,Mate I,2,4
1210428,Jose Ramirez,800,2,2012,CI4930,Sociales,2,3
1210428,Jose Ramirez,800,3,2012,CO9483,Proba,2,3
1210428,Jose Ramirez,800,4,2012,MA1002,Mate 2,2,4
1210428,Jose Ramirez,800,1,2013,CA9393,Lenguaje,2,3
1210428,Jose Ramirez,800,2,2013,FS2929,Fisica,2,4
1210428,Jose Ramirez,800,3,2013,CE3939,Comunicacion,2,3
1210428,Jose Ramirez,800,3,2013,AS3233,Psicologia,2,5
1210428,Jose Ramirez,800,4,2013,FD3232,Politica,2,3
1210428,Jose Ramirez,800,4,2013,AS3949,Sociologia,2,4
1210428,Jose Ramirez,800,4,2013,SD5645,Computacion,2,5
1210429,Pedro Gonzalez,800,1,2012,MA1001,Mate I,5,4
1210429,Pedro Gonzalez,800,2,2012,CI4930,Sociales,5,3
1210429,Pedro Gonzalez,800,3,2012,CO9483,Proba,5,3
1210429,Pedro Gonzalez,800,4,2012,MA1002,Mate 2,5,4
1210429,Pedro Gonzalez,800,1,2013,CA9393,Lenguaje,5,3
1210429,Pedro Gonzalez,800,2,2013,FS2929,Fisica,4,4
1210429,Pedro Gonzalez,800,3,2013,CE3939,Comunicacion,4,3
1210429,Pedro Gonzalez,800,3,2013,AS3233,Psicologia,3,5
1210429,Pedro Gonzalez,800,4,2013,FD3232,Politica,2,3
1210429,Pedro Gonzalez,800,4,2013,AS3949,Sociologia,1,4
1210429,Pedro Gonzalez,800,4,2013,SD5645,Computacion,1,5
1210430,Jose Herrera,800,1,2012,MA1001,Mate I,5,4
1210430,Jose Herrera,800,2,2012,CI4930,Sociales,4,3
1210430,Jose Herrera,800,3,2012,CO9483,Proba,2,3
1210430,Jose Herrera,800,4,2012,MA1002,Mate 2,1,4
1210430,Jose Herrera,800,1,2013,CA9393,Lenguaje,5,3
1210430,Jose Herrera,800,2,2013,FS2929,Fisica,5,4
1210430,Jose Herrera,800,3,2013,CE3939,Comunicacion,4,3
1210430,Jose Herrera,800,3,2013,AS3233,Psicologia,3,5
1210430,Jose Herrera,800,4,2013,FD3232,Politica,R,3
1210430,Jose Herrera,800,4,2013,AS3949,Sociologia,4,4
1210430,Jose Herrera,800,4,2013,SD5645,Computacion,2,5
1210550,Pedro Ramirez,800,1,2012,MA1001,Mate I,2,4
1210550,Pedro Ramirez,800,2,2012,CI4930,Sociales,2,3
1210550,Pedro Ramirez,800,3,2012,CO9483,Proba,2,3
1210550,Pedro Ramirez,800,4,2012,MA1002,Mate 2,3,4
1210550,Pedro Ramirez,800,1,2013,CA9393,Lenguaje,3,3
1210550,Pedro Ramirez,800,2,2013,FS2929,Fisica,5,4
1210550,Pedro Ramirez,800,3,2013,CE3939,Comunicacion,2,3
1210550,Pedro Ramirez,800,3,2013,AS3233,Psicologia,R,5
1210550,Pedro Ramirez,800,3,2013,FD3232,Politica,R,3
1210550,Pedro Ramirez,800,4,2013,AS3949,Sociologia,R,4
1210550,Pedro Ramirez,800,4,2013,SD5645,Computacion,R,5
1310770,Yarima Luciani,800,1,2013,MA1001,Mate I,4,4
1310770,Yarima Luciani,800,2,2013,CI4930,Sociales,4,3
1310770,Yarima Luciani,800,3,2013,CO9483,Proba,4,3
1310770,Yarima Luciani,800,4,2013,MA1002,Mate 2,3,4
1310770,Yarima Luciani,800,1,2014,CA9393,Lenguaje,4,3
1310770,Yarima Luciani,800,2,2014,FS2929,Fisica,3,4
1310770,Yarima Luciani,800,3,2014,CE3939,Comunicacion,5,3
1310770,Yarima Luciani,800,3,2014,AS3233,Psicologia,5,5
1310770,Yarima Luciani,800,3,2014,FD3232,Politica,5,3
1310770,Yarima Luciani,800,4,2014,AS3949,Sociologia,5,4
1310770,Yarima Luciani,800,4,2014,SD5645,Computacion,5,5
1310771,Juan Fernandez,800,1,2013,MA1001,Mate I,2,4
1310771,Juan Fernandez,800,2,2013,CI4930,Sociales,3,3
1310771,Juan Fernandez,800,3,2013,CO9483,Proba,3,3
1310771,Juan Fernandez,800,4,2013,MA1001,Mate I,3,4
1310771,Juan Fernandez,800,1,2014,CA9393,Lenguaje,2,3
1310771,Juan Fernandez,800,2,2014,FS2929,Fisica,2,4
1310771,Juan Fernandez,800,3,2014,CE3939,Comunicacion,3,3
1310771,Juan Fernandez,800,3,2014,AS3233,Psicologia,1,5
1310771,Juan Fernandez,800,3,2014,FD3232,Politica,1,3
1310771,Juan Fernandez,800,4,2014,AS3949,Sociologia,R,4
1310771,Juan Fernandez,800,4,2014,SD5645,Computacion,R,5
1310772,Maria Ramirez,800,1,2013,MA1001,Mate I,2,4
1310772,Maria Ramirez,800,1,2013,CI4930,Sociales,5,3
1310772,Maria Ramirez,800,1,2013,CO9483,Proba,5,3
1310772,Maria Ramirez,800,2,2013,MA1001,Mate I,4,4
1310772,Maria Ramirez,800,1,2014,CA9393,Lenguaje,3,3
1310772,Maria Ramirez,800,2,2014,FS2929,Fisica,3,4
1310772,Maria Ramirez,800,3,2014,CE3939,Comunicacion,1,3
1310772,Maria Ramirez,800,3,2014,AS3233,Psicologia,3,5
1310772,Maria Ramirez,800,3,2014,FD3232,Politica,4,3
1310772,Maria Ramirez,800,4,2014,AS3949,Sociologia,5,4
1310772,Maria Ramirez,800,4,2014,SD5645,Computacion,5,5
1310888,Ana Perez,800,1,2013,MA1001,Mate I,3,4
1310888,Ana Perez,800,1,2013,CI4930,Sociales,5,3
1310888,Ana Perez,800,1,2013,CO9483,Proba,5,3
1310888,Ana Perez,800,2,2013,MA1002,Mate II,2,4
1310888,Ana Perez,800,1,2014,CA9393,Lenguaje,2,3
1310888,Ana Perez,800,2,2014,FS2929,Fisica,3,4
1310888,Ana Perez,800,3,2014,CE3939,Comunicacion,4,3
1310888,Ana Perez,800,3,2014,AS3233,Psicologia,3,5
1310888,Ana Perez,800,3,2014,FD3232,Politica,4,3
1310888,Ana Perez,800,4,2014,AS3949,Sociologia,5,4
1310888,Ana Perez,800,4,2014,SD5645,Computacion,2,5
1410555,Sofia Gomez,800,1,2014,MA1001,Mate I,2,4
1410555,Sofia Gomez,800,1,2014,CI4930,Sociales,2,3
1410555,Sofia Gomez,800,1,2014,CO9483,Proba,2,3
1410555,Sofia Gomez,800,2,2014,MA1002,Mate II,2,4
1410555,Sofia Gomez,800,1,2015,CA9393,Lenguaje,2,3
1410555,Sofia Gomez,800,2,2015,FS2929,Fisica,2,4
1410555,Sofia Gomez,800,3,2015,CE3939,Comunicacion,2,3
1410555,Sofia Gomez,800,3,2015,AS3233,Psicologia,2,5
1410555,Sofia Gomez,800,3,2015,FD3232,Politica,2,3
1410555,Sofia Gomez,800,4,2015,AS3949,Sociologia,R,4
1410555,Sofia Gomez,800,4,2015,SD5645,Computacion,2,5
