carnet,nombre,carrera,trimestre,anio,codasig,nomasig,nota,creditos
1355555,Juan Nieves,800,1,2013,AB1230,Materia 1,3,10
1355555,Juan Nieves,800,2,2013,AB1231,Materia 2,3,10
1355555,Juan Nieves,800,3,2013,AB1232,Materia 3,3,10
1355555,Juan Nieves,800,4,2013,AB1233,Materia 4,3,10
1355555,Juan Nieves,800,5,2013,AB1234,Materia 5,3,10
1355555,Juan Nieves,800,6,2013,AB1235,Materia 15,3,10
1355555,Juan Nieves,800,7,2013,AB1236,Materia 6,3,10
1355555,Juan Nieves,800,8,2013,AB1238,Materia 7,3,10
1355555,Juan Nieves,800,9,2013,AB1239,Materia 8,3,10
1355555,Juan Nieves,800,10,2013,AB1241,Materia 9,3,10
1355555,Juan Nieves,800,11,2013,AB1242,Materia 10,3,10
1355555,Juan Nieves,800,12,2013,AB1243,Materia 11,3,10
1355555,Juan Nieves,800,13,2013,AB1244,Materia 12,3,10
1355555,Juan Nieves,800,14,2013,AB1245,Materia 13,3,10
1355555,Juan Nieves,800,15,2013,AB1246,Materia 14,3,10
1355555,Juan Nieves,800,1,2014,AB1244,Materia 12,3,10
1355555,Juan Nieves,800,2,2014,AB1245,Materia 13,3,10
1355555,Juan Nieves,800,3,2014,AB1246,Materia 14,3,10
1455555,Juan Nieves,800,4,2014,AB1233,Materia 4,3,12
1455555,Juan Nieves,800,5,2014,AB1234,Materia 5,3,12
1455555,Juan Nieves,800,6,2014,AB1235,Materia 15,3,12
1455555,Juan Nieves,800,7,2014,AB1236,Materia 6,3,12
1455555,Juan Nieves,800,8,2014,AB1238,Materia 7,3,12
1455555,Juan Nieves,800,9,2014,AB1239,Materia 8,3,12
1455555,Juan Nieves,800,10,2014,AB1241,Materia 9,3,12
1455555,Juan Nieves,800,11,2014,AB1242,Materia 10,3,12
1455555,Juan Nieves,800,12,2014,AB1243,Materia 11,3,12
1455555,Juan Nieves,800,13,2014,AB1244,Materia 12,3,12
1455555,Juan Nieves,800,14,2014,AB1245,Materia 13,3,12
1455555,Juan Nieves,800,15,2014,AB1246,Materia 14,3,12
1455555,Juan Nieves,800,1,2015,AB1230,Materia 1,3,12
1455555,Juan Nieves,800,2,2015,AB1231,Materia 2,3,12
1455555,Juan Nieves,800,3,2015,AB1232,Materia 3,3,12
1455555,Juan Nieves,800,4,2014,AB1241,Materia 9,3,12
1455555,Juan Nieves,800,5,2014,AB1242,Materia 10,3,12
1455555,Juan Nieves,800,6,2014,AB1243,Materia 11,3,12
1555555,Juan Nieves,800,7,2014,AB1244,Materia 12,3,14
1555555,Juan Nieves,800,8,2015,AB1238,Materia 7,3,14
1555555,Juan Nieves,800,9,2015,AB1239,Materia 8,3,14
1555555,Juan Nieves,800,10,2015,AB1241,Materia 9,3,14
1555555,Juan Nieves,800,11,2015,AB1242,Materia 10,3,14
1555555,Juan Nieves,800,12,2015,AB1243,Materia 11,3,14
1555555,Juan Nieves,800,13,2015,AB1244,Materia 12,3,14
1555555,Juan Nieves,800,14,2015,AB1245,Materia 13,3,14
1555555,Juan Nieves,800,15,2015,AB1246,Materia 14,3,14
1555555,Juan Nieves,800,1,2016,AB1230,Materia 1,3,14
1555555,Juan Nieves,800,2,2016,AB1231,Materia 2,3,14
1555555,Juan Nieves,800,3,2016,AB1232,Materia 3,3,14
1555555,Juan Nieves,800,4,2016,AB1233,Materia 4,3,14
1555555,Juan Nieves,800,5,2016,AB1234,Materia 5,3,14
1555555,Juan Nieves,800,6,2016,AB1235,Materia 15,3,14
1555555,Juan Nieves,800,7,2016,AB1241,Materia 9,3,14
1555555,Juan Nieves,800,8,2016,AB1242,Materia 10,3,14
1555555,Juan Nieves,800,9,2016,AB1243,Materia 11,3,14
1655555,Juan Nieves,800,10,2016,AB1241,Materia 9,3,16
1655555,Juan Nieves,800,11,2016,AB1242,Materia 10,3,16
1655555,Juan Nieves,800,12,2016,AB1243,Materia 11,3,16
1655555,Juan Nieves,800,13,2016,AB1244,Materia 12,3,16
1655555,Juan Nieves,800,14,2016,AB1245,Materia 13,3,16
1655555,Juan Nieves,800,15,2016,AB1246,Materia 14,3,16
