carnet,nombre,carrera,trimestre,anio,codasig,nomasig,nota,creditos,Cohorte 13
1355555,Juan Nieves,800,0,2013,FD3232,Psicologia,3,150,
1355555,Juan Nieves,800,1,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,2,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,3,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,4,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,5,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,6,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,7,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,8,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,9,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,10,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,11,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,10,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,11,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,12,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,13,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,14,2013,FD3232,Psicologia,3,0,
1355555,Juan Nieves,800,15,2013,FD3232,Psicologia,3,0,
1455555,Juan Nieves,800,0,2014,FD3232,Psicologia,3,0,Cohorte 14
1455555,Juan Nieves,800,1,2014,FD3232,Psicologia,3,1,
1455555,Juan Nieves,800,2,2014,FD3232,Psicologia,3,3,
1455555,Juan Nieves,800,3,2014,FD3232,Psicologia,3,5,
1455555,Juan Nieves,800,4,2014,FD3232,Psicologia,3,7,
1455555,Juan Nieves,800,5,2014,FD3232,Psicologia,3,9,
1455555,Juan Nieves,800,6,2014,FD3232,Psicologia,3,11,
1455555,Juan Nieves,800,7,2014,FD3232,Psicologia,3,14,
1455555,Juan Nieves,800,8,2014,FD3232,Psicologia,3,15,
1455555,Juan Nieves,800,9,2014,FD3232,Psicologia,3,17,
1455555,Juan Nieves,800,10,2014,FD3232,Psicologia,3,19,
1455555,Juan Nieves,800,11,2014,FD3232,Psicologia,3,21,
1455555,Juan Nieves,800,10,2014,FD3232,Psicologia,3,23,
1455555,Juan Nieves,800,11,2014,FD3232,Psicologia,3,25,
1455555,Juan Nieves,800,12,2014,FD3232,Psicologia,3,0,
1455555,Juan Nieves,800,13,2014,FD3232,Psicologia,3,0,
1455555,Juan Nieves,800,14,2014,FD3232,Psicologia,3,0,
1455555,Juan Nieves,800,15,2014,FD3232,Psicologia,3,0,
1555555,Juan Nieves,800,0,2015,FD3232,Psicologia,3,3,Cohorte 15
1555555,Juan Nieves,800,1,2015,FD3232,Psicologia,3,6,
1555555,Juan Nieves,800,2,2015,FD3232,Psicologia,3,9,
1555555,Juan Nieves,800,3,2015,FD3232,Psicologia,3,12,
1555555,Juan Nieves,800,4,2015,FD3232,Psicologia,3,15,
1555555,Juan Nieves,800,5,2015,FD3232,Psicologia,3,18,
1555555,Juan Nieves,800,6,2015,FD3232,Psicologia,3,21,
1555555,Juan Nieves,800,7,2015,FD3232,Psicologia,3,24,
1555555,Juan Nieves,800,8,2015,FD3232,Psicologia,3,27,
1555555,Juan Nieves,800,9,2015,FD3232,Psicologia,3,30,
1555555,Juan Nieves,800,10,2015,FD3232,Psicologia,3,33,
1555555,Juan Nieves,800,11,2015,FD3232,Psicologia,3,36,
1555555,Juan Nieves,800,10,2015,FD3232,Psicologia,3,39,
1555555,Juan Nieves,800,11,2015,FD3232,Psicologia,3,42,
1555555,Juan Nieves,800,12,2015,FD3232,Psicologia,3,0,
1555555,Juan Nieves,800,13,2015,FD3232,Psicologia,3,0,
1555555,Juan Nieves,800,14,2015,FD3232,Psicologia,3,0,
1555555,Juan Nieves,800,15,2015,FD3232,Psicologia,3,0,
1655555,Juan Nieves,800,0,2016,FD3232,Psicologia,3,0,Cohorte 16
1655555,Juan Nieves,800,1,2016,FD3232,Psicologia,3,4,
1655555,Juan Nieves,800,2,2016,FD3232,Psicologia,3,3,
1655555,Juan Nieves,800,3,2016,FD3232,Psicologia,3,3,
1655555,Juan Nieves,800,4,2016,FD3232,Psicologia,3,8,
1655555,Juan Nieves,800,5,2016,FD3232,Psicologia,3,10,
1655555,Juan Nieves,800,6,2016,FD3232,Psicologia,3,10,
1655555,Juan Nieves,800,7,2016,FD3232,Psicologia,3,10,
1655555,Juan Nieves,800,8,2016,FD3232,Psicologia,3,10,
1655555,Juan Nieves,800,9,2016,FD3232,Psicologia,3,12,
1655555,Juan Nieves,800,10,2016,FD3232,Psicologia,3,13,
1655555,Juan Nieves,800,11,2016,FD3232,Psicologia,3,13,
1655555,Juan Nieves,800,10,2016,FD3232,Psicologia,3,13,
1655555,Juan Nieves,800,11,2016,FD3232,Psicologia,3,13,
1655555,Juan Nieves,800,12,2016,FD3232,Psicologia,3,13,
1655555,Juan Nieves,800,13,2016,FD3232,Psicologia,3,13,
1655555,Juan Nieves,800,14,2016,FD3232,Psicologia,3,13,
1655555,Juan Nieves,800,15,2016,FD3232,Psicologia,3,16,
1755555,Juan Nieves,800,0,2017,FD3232,Psicologia,3,15,Cohorte 17
1755555,Juan Nieves,800,1,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,2,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,3,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,4,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,5,2017,FD3232,Psicologia,3,15,
1755555,Juan Nieves,800,6,2017,FD3232,Psicologia,3,15,
